"spp","area_code","abundance","region","altitude","life_form","indumentum","thickness","grad","site","ab.rare"
"sp001","GR00",11,"GR",0,"ter","ausente","coriacea",0.001,"1","abundant"
"sp001","MR00",11,"MR",0,"ter","ausente","coriacea",0.001,"2","abundant"
"sp001","PR00",248,"PR",0,"ter","ausente","coriacea",0.001,"3","abundant"
"sp001","GR010",0,"GR",10,"ter","ausente","coriacea",0.0081428571,"4","abundant"
"sp001","MR010",0,"MR",10,"ter","ausente","coriacea",0.0081428571,"5","abundant"
"sp001","PR010",0,"PR",10,"ter","ausente","coriacea",0.0081428571,"6","abundant"
"sp001","GR50",0,"GR",50,"ter","ausente","coriacea",0.0367142857,"7","abundant"
"sp001","MR50",0,"MR",50,"ter","ausente","coriacea",0.0367142857,"8","abundant"
"sp001","PR50",0,"PR",50,"ter","ausente","coriacea",0.0367142857,"9","abundant"
"sp001","GR200",0,"GR",200,"ter","ausente","coriacea",0.1438571429,"10","abundant"
"sp001","MR200",0,"MR",200,"ter","ausente","coriacea",0.1438571429,"11","abundant"
"sp001","PR200",0,"PR",200,"ter","ausente","coriacea",0.1438571429,"12","abundant"
"sp001","GR400",0,"GR",400,"ter","ausente","coriacea",0.2867142857,"13","abundant"
"sp001","MR400",0,"MR",400,"ter","ausente","coriacea",0.2867142857,"14","abundant"
"sp001","PR400",0,"PR",400,"ter","ausente","coriacea",0.2867142857,"15","abundant"
"sp001","GR600",0,"GR",600,"ter","ausente","coriacea",0.4295714286,"16","abundant"
"sp001","MR600",0,"MR",600,"ter","ausente","coriacea",0.4295714286,"17","abundant"
"sp001","PR600",0,"PR",600,"ter","ausente","coriacea",0.4295714286,"18","abundant"
"sp001","GR800",0,"GR",800,"ter","ausente","coriacea",0.5724285714,"19","abundant"
"sp001","MR800",0,"MR",800,"ter","ausente","coriacea",0.5724285714,"20","abundant"
"sp001","PR800",0,"PR",800,"ter","ausente","coriacea",0.5724285714,"21","abundant"
"sp001","GR1000",0,"GR",1000,"ter","ausente","coriacea",0.7152857143,"22","abundant"
"sp001","MR1000",0,"MR",1000,"ter","ausente","coriacea",0.7152857143,"23","abundant"
"sp001","PR1000",0,"PR",1000,"ter","ausente","coriacea",0.7152857143,"24","abundant"
"sp001","GR1200",0,"GR",1200,"ter","ausente","coriacea",0.8581428571,"25","abundant"
"sp001","MR1200",0,"MR",1200,"ter","ausente","coriacea",0.8581428571,"26","abundant"
"sp001","PR1200",0,"PR",1200,"ter","ausente","coriacea",0.8581428571,"27","abundant"
"sp001","GR1400",0,"GR",1400,"ter","ausente","coriacea",1.001,"28","abundant"
"sp001","MR1400",0,"MR",1400,"ter","ausente","coriacea",1.001,"29","abundant"
"sp001","PR1400",0,"PR",1400,"ter","ausente","coriacea",1.001,"30","abundant"
"sp012","GR00",0,"GR",0,"ter","ausente","membranacea",0.001,"1","abundant"
"sp012","MR00",0,"MR",0,"ter","ausente","membranacea",0.001,"2","abundant"
"sp012","PR00",0,"PR",0,"ter","ausente","membranacea",0.001,"3","abundant"
"sp012","GR010",0,"GR",10,"ter","ausente","membranacea",0.0081428571,"4","abundant"
"sp012","MR010",0,"MR",10,"ter","ausente","membranacea",0.0081428571,"5","abundant"
"sp012","PR010",0,"PR",10,"ter","ausente","membranacea",0.0081428571,"6","abundant"
"sp012","GR50",0,"GR",50,"ter","ausente","membranacea",0.0367142857,"7","abundant"
"sp012","MR50",0,"MR",50,"ter","ausente","membranacea",0.0367142857,"8","abundant"
"sp012","PR50",0,"PR",50,"ter","ausente","membranacea",0.0367142857,"9","abundant"
"sp012","GR200",16,"GR",200,"ter","ausente","membranacea",0.1438571429,"10","abundant"
"sp012","MR200",11,"MR",200,"ter","ausente","membranacea",0.1438571429,"11","abundant"
"sp012","PR200",0,"PR",200,"ter","ausente","membranacea",0.1438571429,"12","abundant"
"sp012","GR400",2,"GR",400,"ter","ausente","membranacea",0.2867142857,"13","abundant"
"sp012","MR400",0,"MR",400,"ter","ausente","membranacea",0.2867142857,"14","abundant"
"sp012","PR400",0,"PR",400,"ter","ausente","membranacea",0.2867142857,"15","abundant"
"sp012","GR600",19,"GR",600,"ter","ausente","membranacea",0.4295714286,"16","abundant"
"sp012","MR600",1,"MR",600,"ter","ausente","membranacea",0.4295714286,"17","abundant"
"sp012","PR600",0,"PR",600,"ter","ausente","membranacea",0.4295714286,"18","abundant"
"sp012","GR800",250,"GR",800,"ter","ausente","membranacea",0.5724285714,"19","abundant"
"sp012","MR800",19,"MR",800,"ter","ausente","membranacea",0.5724285714,"20","abundant"
"sp012","PR800",0,"PR",800,"ter","ausente","membranacea",0.5724285714,"21","abundant"
"sp012","GR1000",0,"GR",1000,"ter","ausente","membranacea",0.7152857143,"22","abundant"
"sp012","MR1000",165,"MR",1000,"ter","ausente","membranacea",0.7152857143,"23","abundant"
"sp012","PR1000",0,"PR",1000,"ter","ausente","membranacea",0.7152857143,"24","abundant"
"sp012","GR1200",0,"GR",1200,"ter","ausente","membranacea",0.8581428571,"25","abundant"
"sp012","MR1200",0,"MR",1200,"ter","ausente","membranacea",0.8581428571,"26","abundant"
