"spp","area_code","abundance","region","altitude","life_form","indumentum","thickness","grad","site","ab.rare"
"sp001","GR00",11,"GR",0,"ter","ausente","coriacea",0.001,"1","abundant"
"sp001","MR00",11,"MR",0,"ter","ausente","coriacea",0.001,"2","abundant"
"sp001","PR00",248,"PR",0,"ter","ausente","coriacea",0.001,"3","abundant"
"sp001","GR010",0,"GR",10,"ter","ausente","coriacea",0.0081428571,"4","abundant"
"sp001","MR010",0,"MR",10,"ter","ausente","coriacea",0.0081428571,"5","abundant"
"sp001","PR010",0,"PR",10,"ter","ausente","coriacea",0.0081428571,"6","abundant"
"sp001","GR50",0,"GR",50,"ter","ausente","coriacea",0.0367142857,"7","abundant"
"sp001","MR50",0,"MR",50,"ter","ausente","coriacea",0.0367142857,"8","abundant"
"sp001","PR50",0,"PR",50,"ter","ausente","coriacea",0.0367142857,"9","abundant"
"sp001","GR200",0,"GR",200,"ter","ausente","coriacea",0.1438571429,"10","abundant"
"sp001","MR200",0,"MR",200,"ter","ausente","coriacea",0.1438571429,"11","abundant"
"sp001","PR200",0,"PR",200,"ter","ausente","coriacea",0.1438571429,"12","abundant"
"sp001","GR400",0,"GR",400,"ter","ausente","coriacea",0.2867142857,"13","abundant"
"sp001","MR400",0,"MR",400,"ter","ausente","coriacea",0.2867142857,"14","abundant"
"sp001","PR400",0,"PR",400,"ter","ausente","coriacea",0.2867142857,"15","abundant"
"sp001","GR600",0,"GR",600,"ter","ausente","coriacea",0.4295714286,"16","abundant"
"sp001","MR600",0,"MR",600,"ter","ausente","coriacea",0.4295714286,"17","abundant"
"sp001","PR600",0,"PR",600,"ter","ausente","coriacea",0.4295714286,"18","abundant"
"sp001","GR800",0,"GR",800,"ter","ausente","coriacea",0.5724285714,"19","abundant"
"sp001","MR800",0,"MR",800,"ter","ausente","coriacea",0.5724285714,"20","abundant"
"sp001","PR800",0,"PR",800,"ter","ausente","coriacea",0.5724285714,"21","abundant"
"sp001","GR1000",0,"GR",1000,"ter","ausente","coriacea",0.7152857143,"22","abundant"
"sp001","MR1000",0,"MR",1000,"ter","ausente","coriacea",0.7152857143,"23","abundant"
"sp001","PR1000",0,"PR",1000,"ter","ausente","coriacea",0.7152857143,"24","abundant"
"sp001","GR1200",0,"GR",1200,"ter","ausente","coriacea",0.8581428571,"25","abundant"
"sp001","MR1200",0,"MR",1200,"ter","ausente","coriacea",0.8581428571,"26","abundant"
"sp001","PR1200",0,"PR",1200,"ter","ausente","coriacea",0.8581428571,"27","abundant"
"sp001","GR1400",0,"GR",1400,"ter","ausente","coriacea",1.001,"28","abundant"
"sp001","MR1400",0,"MR",1400,"ter","ausente","coriacea",1.001,"29","abundant"
"sp001","PR1400",0,"PR",1400,"ter","ausente","coriacea",1.001,"30","abundant"
"sp002","GR00",0,"GR",0,"ter","presente","membranacea",0.001,"1","rare"
"sp002","MR00",0,"MR",0,"ter","presente","membranacea",0.001,"2","rare"
"sp002","PR00",0,"PR",0,"ter","presente","membranacea",0.001,"3","rare"
"sp002","GR010",0,"GR",10,"ter","presente","membranacea",0.0081428571,"4","rare"
"sp002","MR010",0,"MR",10,"ter","presente","membranacea",0.0081428571,"5","rare"
"sp002","PR010",0,"PR",10,"ter","presente","membranacea",0.0081428571,"6","rare"
"sp002","GR50",0,"GR",50,"ter","presente","membranacea",0.0367142857,"7","rare"
"sp002","MR50",0,"MR",50,"ter","presente","membranacea",0.0367142857,"8","rare"
"sp002","PR50",0,"PR",50,"ter","presente","membranacea",0.0367142857,"9","rare"
"sp002","GR200",1,"GR",200,"ter","presente","membranacea",0.1438571429,"10","rare"
"sp002","MR200",0,"MR",200,"ter","presente","membranacea",0.1438571429,"11","rare"
"sp002","PR200",6,"PR",200,"ter","presente","membranacea",0.1438571429,"12","rare"
"sp002","GR400",0,"GR",400,"ter","presente","membranacea",0.2867142857,"13","rare"
"sp002","MR400",0,"MR",400,"ter","presente","membranacea",0.2867142857,"14","rare"
"sp002","PR400",0,"PR",400,"ter","presente","membranacea",0.2867142857,"15","rare"
"sp002","GR600",0,"GR",600,"ter","presente","membranacea",0.4295714286,"16","rare"
"sp002","MR600",0,"MR",600,"ter","presente","membranacea",0.4295714286,"17","rare"
"sp002","PR600",0,"PR",600,"ter","presente","membranacea",0.4295714286,"18","rare"
"sp002","GR800",0,"GR",800,"ter","presente","membranacea",0.5724285714,"19","rare"
"sp002","MR800",0,"MR",800,"ter","presente","membranacea",0.5724285714,"20","rare"
"sp002","PR800",0,"PR",800,"ter","presente","membranacea",0.5724285714,"21","rare"
"sp002","GR1000",0,"GR",1000,"ter","presente","membranacea",0.7152857143,"22","rare"
"sp002","MR1000",0,"MR",1000,"ter","presente","membranacea",0.7152857143,"23","rare"
"sp002","PR1000",0,"PR",1000,"ter","presente","membranacea",0.7152857143,"24","rare"
"sp002","GR1200",0,"GR",1200,"ter","presente","membranacea",0.8581428571,"25","rare"
"sp002","MR1200",0,"MR",1200,"ter","presente","membranacea",0.8581428571,"26","rare"
"sp002","PR1200",0,"PR",1200,"ter","presente","membranacea",0.8581428571,"27","rare"
