area_code,species,abundance,mountain,altitude,life_form,indumentum,thickness,alt_std
GR00,sp001,11,GR,0,ter,ausente,coriacea,0.001
MR00,sp001,11,MR,0,ter,ausente,coriacea,0.001
PR00,sp001,248,PR,0,ter,ausente,coriacea,0.001
GR010,sp001,0,GR,10,ter,ausente,coriacea,0.0081428571
MR010,sp001,0,MR,10,ter,ausente,coriacea,0.0081428571
PR010,sp001,0,PR,10,ter,ausente,coriacea,0.0081428571
GR50,sp001,0,GR,50,ter,ausente,coriacea,0.0367142857
MR50,sp001,0,MR,50,ter,ausente,coriacea,0.0367142857
PR50,sp001,0,PR,50,ter,ausente,coriacea,0.0367142857
GR200,sp001,0,GR,200,ter,ausente,coriacea,0.1438571429
MR200,sp001,0,MR,200,ter,ausente,coriacea,0.1438571429
PR200,sp001,0,PR,200,ter,ausente,coriacea,0.1438571429
GR400,sp001,0,GR,400,ter,ausente,coriacea,0.2867142857
MR400,sp001,0,MR,400,ter,ausente,coriacea,0.2867142857
PR400,sp001,0,PR,400,ter,ausente,coriacea,0.2867142857
GR600,sp001,0,GR,600,ter,ausente,coriacea,0.4295714286
MR600,sp001,0,MR,600,ter,ausente,coriacea,0.4295714286
PR600,sp001,0,PR,600,ter,ausente,coriacea,0.4295714286
GR800,sp001,0,GR,800,ter,ausente,coriacea,0.5724285714
MR800,sp001,0,MR,800,ter,ausente,coriacea,0.5724285714
PR800,sp001,0,PR,800,ter,ausente,coriacea,0.5724285714
GR1000,sp001,0,GR,1000,ter,ausente,coriacea,0.7152857143
MR1000,sp001,0,MR,1000,ter,ausente,coriacea,0.7152857143
PR1000,sp001,0,PR,1000,ter,ausente,coriacea,0.7152857143
GR1200,sp001,0,GR,1200,ter,ausente,coriacea,0.8581428571
MR1200,sp001,0,MR,1200,ter,ausente,coriacea,0.8581428571
PR1200,sp001,0,PR,1200,ter,ausente,coriacea,0.8581428571
GR1400,sp001,0,GR,1400,ter,ausente,coriacea,1.001
MR1400,sp001,0,MR,1400,ter,ausente,coriacea,1.001
PR1400,sp001,0,PR,1400,ter,ausente,coriacea,1.001
GR00,sp002,0,GR,0,ter,presente,membranacea,0.001
MR00,sp002,0,MR,0,ter,presente,membranacea,0.001
PR00,sp002,0,PR,0,ter,presente,membranacea,0.001
GR010,sp002,0,GR,10,ter,presente,membranacea,0.0081428571
MR010,sp002,0,MR,10,ter,presente,membranacea,0.0081428571
PR010,sp002,0,PR,10,ter,presente,membranacea,0.0081428571
GR50,sp002,0,GR,50,ter,presente,membranacea,0.0367142857
MR50,sp002,0,MR,50,ter,presente,membranacea,0.0367142857
PR50,sp002,0,PR,50,ter,presente,membranacea,0.0367142857
GR200,sp002,1,GR,200,ter,presente,membranacea,0.1438571429
MR200,sp002,0,MR,200,ter,presente,membranacea,0.1438571429
PR200,sp002,6,PR,200,ter,presente,membranacea,0.1438571429
GR400,sp002,0,GR,400,ter,presente,membranacea,0.2867142857
MR400,sp002,0,MR,400,ter,presente,membranacea,0.2867142857
PR400,sp002,0,PR,400,ter,presente,membranacea,0.2867142857
GR600,sp002,0,GR,600,ter,presente,membranacea,0.4295714286
MR600,sp002,0,MR,600,ter,presente,membranacea,0.4295714286
PR600,sp002,0,PR,600,ter,presente,membranacea,0.4295714286
GR800,sp002,0,GR,800,ter,presente,membranacea,0.5724285714
MR800,sp002,0,MR,800,ter,presente,membranacea,0.5724285714
PR800,sp002,0,PR,800,ter,presente,membranacea,0.5724285714
GR1000,sp002,0,GR,1000,ter,presente,membranacea,0.7152857143
MR1000,sp002,0,MR,1000,ter,presente,membranacea,0.7152857143
PR1000,sp002,0,PR,1000,ter,presente,membranacea,0.7152857143
GR1200,sp002,0,GR,1200,ter,presente,membranacea,0.8581428571
MR1200,sp002,0,MR,1200,ter,presente,membranacea,0.8581428571
PR1200,sp002,0,PR,1200,ter,presente,membranacea,0.8581428571
GR1400,sp002,0,GR,1400,ter,presente,membranacea,1.001
MR1400,sp002,0,MR,1400,ter,presente,membranacea,1.001
PR1400,sp002,0,PR,1400,ter,presente,membranacea,1.001
GR00,sp003,0,GR,0,ter,presente,coriacea,0.001
MR00,sp003,0,MR,0,ter,presente,coriacea,0.001
PR00,sp003,0,PR,0,ter,presente,coriacea,0.001
GR010,sp003,0,GR,10,ter,presente,coriacea,0.0081428571
MR010,sp003,0,MR,10,ter,presente,coriacea,0.0081428571
PR010,sp003,0,PR,10,ter,presente,coriacea,0.0081428571
GR50,sp003,0,GR,50,ter,presente,coriacea,0.0367142857
MR50,sp003,16,MR,50,ter,presente,coriacea,0.0367142857
PR50,sp003,0,PR,50,ter,presente,coriacea,0.0367142857
GR200,sp003,0,GR,200,ter,presente,coriacea,0.1438571429
MR200,sp003,0,MR,200,ter,presente,coriacea,0.1438571429
PR200,sp003,0,PR,200,ter,presente,coriacea,0.1438571429
GR400,sp003,4,GR,400,ter,presente,coriacea,0.2867142857
MR400,sp003,10,MR,400,ter,presente,coriacea,0.2867142857
PR400,sp003,0,PR,400,ter,presente,coriacea,0.2867142857
GR600,sp003,0,GR,600,ter,presente,coriacea,0.4295714286
MR600,sp003,1,MR,600,ter,presente,coriacea,0.4295714286
PR600,sp003,2,PR,600,ter,presente,coriacea,0.4295714286
GR800,sp003,48,GR,800,ter,presente,coriacea,0.5724285714
MR800,sp003,1,MR,800,ter,presente,coriacea,0.5724285714
PR800,sp003,0,PR,800,ter,presente,coriacea,0.5724285714
GR1000,sp003,0,GR,1000,ter,presente,coriacea,0.7152857143
MR1000,sp003,3,MR,1000,ter,presente,coriacea,0.7152857143
PR1000,sp003,1,PR,1000,ter,presente,coriacea,0.7152857143
GR1200,sp003,0,GR,1200,ter,presente,coriacea,0.8581428571
MR1200,sp003,0,MR,1200,ter,presente,coriacea,0.8581428571
PR1200,sp003,0,PR,1200,ter,presente,coriacea,0.8581428571
GR1400,sp003,0,GR,1400,ter,presente,coriacea,1.001
MR1400,sp003,0,MR,1400,ter,presente,coriacea,1.001
PR1400,sp003,0,PR,1400,ter,presente,coriacea,1.001
GR00,sp004,0,GR,0,ter,presente,coriacea,0.001
MR00,sp004,0,MR,0,ter,presente,coriacea,0.001
PR00,sp004,0,PR,0,ter,presente,coriacea,0.001
GR010,sp004,0,GR,10,ter,presente,coriacea,0.0081428571
MR010,sp004,0,MR,10,ter,presente,coriacea,0.0081428571
PR010,sp004,0,PR,10,ter,presente,coriacea,0.0081428571
GR50,sp004,0,GR,50,ter,presente,coriacea,0.0367142857
MR50,sp004,1,MR,50,ter,presente,coriacea,0.0367142857
PR50,sp004,0,PR,50,ter,presente,coriacea,0.0367142857
GR200,sp004,22,GR,200,ter,presente,coriacea,0.1438571429
MR200,sp004,13,MR,200,ter,presente,coriacea,0.1438571429
PR200,sp004,0,PR,200,ter,presente,coriacea,0.1438571429
GR400,sp004,17,GR,400,ter,presente,coriacea,0.2867142857
MR400,sp004,7,MR,400,ter,presente,coriacea,0.2867142857
PR400,sp004,0,PR,400,ter,presente,coriacea,0.2867142857
GR600,sp004,22,GR,600,ter,presente,coriacea,0.4295714286
MR600,sp004,0,MR,600,ter,presente,coriacea,0.4295714286
PR600,sp004,0,PR,600,ter,presente,coriacea,0.4295714286
GR800,sp004,2,GR,800,ter,presente,coriacea,0.5724285714
MR800,sp004,6,MR,800,ter,presente,coriacea,0.5724285714
PR800,sp004,0,PR,800,ter,presente,coriacea,0.5724285714
GR1000,sp004,0,GR,1000,ter,presente,coriacea,0.7152857143
MR1000,sp004,0,MR,1000,ter,presente,coriacea,0.7152857143
PR1000,sp004,0,PR,1000,ter,presente,coriacea,0.7152857143
GR1200,sp004,0,GR,1200,ter,presente,coriacea,0.8581428571
MR1200,sp004,0,MR,1200,ter,presente,coriacea,0.8581428571
PR1200,sp004,0,PR,1200,ter,presente,coriacea,0.8581428571
GR1400,sp004,0,GR,1400,ter,presente,coriacea,1.001
MR1400,sp004,0,MR,1400,ter,presente,coriacea,1.001
PR1400,sp004,0,PR,1400,ter,presente,coriacea,1.001
GR00,sp005,0,GR,0,ter,ausente,membranacea,0.001
MR00,sp005,0,MR,0,ter,ausente,membranacea,0.001
PR00,sp005,0,PR,0,ter,ausente,membranacea,0.001
GR010,sp005,0,GR,10,ter,ausente,membranacea,0.0081428571
MR010,sp005,0,MR,10,ter,ausente,membranacea,0.0081428571
PR010,sp005,0,PR,10,ter,ausente,membranacea,0.0081428571
GR50,sp005,0,GR,50,ter,ausente,membranacea,0.0367142857
MR50,sp005,3,MR,50,ter,ausente,membranacea,0.0367142857
PR50,sp005,1,PR,50,ter,ausente,membranacea,0.0367142857
GR200,sp005,0,GR,200,ter,ausente,membranacea,0.1438571429
MR200,sp005,0,MR,200,ter,ausente,membranacea,0.1438571429
PR200,sp005,0,PR,200,ter,ausente,membranacea,0.1438571429
GR400,sp005,0,GR,400,ter,ausente,membranacea,0.2867142857
MR400,sp005,0,MR,400,ter,ausente,membranacea,0.2867142857
PR400,sp005,0,PR,400,ter,ausente,membranacea,0.2867142857
GR600,sp005,0,GR,600,ter,ausente,membranacea,0.4295714286
MR600,sp005,0,MR,600,ter,ausente,membranacea,0.4295714286
PR600,sp005,0,PR,600,ter,ausente,membranacea,0.4295714286
GR800,sp005,0,GR,800,ter,ausente,membranacea,0.5724285714
MR800,sp005,11,MR,800,ter,ausente,membranacea,0.5724285714
PR800,sp005,0,PR,800,ter,ausente,membranacea,0.5724285714
GR1000,sp005,0,GR,1000,ter,ausente,membranacea,0.7152857143
MR1000,sp005,0,MR,1000,ter,ausente,membranacea,0.7152857143
PR1000,sp005,64,PR,1000,ter,ausente,membranacea,0.7152857143
GR1200,sp005,0,GR,1200,ter,ausente,membranacea,0.8581428571
MR1200,sp005,0,MR,1200,ter,ausente,membranacea,0.8581428571
PR1200,sp005,0,PR,1200,ter,ausente,membranacea,0.8581428571
GR1400,sp005,0,GR,1400,ter,ausente,membranacea,1.001
MR1400,sp005,0,MR,1400,ter,ausente,membranacea,1.001
PR1400,sp005,0,PR,1400,ter,ausente,membranacea,1.001
GR00,sp006,0,GR,0,ep,ausente,coriacea,0.001
MR00,sp006,0,MR,0,ep,ausente,coriacea,0.001
PR00,sp006,0,PR,0,ep,ausente,coriacea,0.001
GR010,sp006,0,GR,10,ep,ausente,coriacea,0.0081428571
MR010,sp006,0,MR,10,ep,ausente,coriacea,0.0081428571
PR010,sp006,0,PR,10,ep,ausente,coriacea,0.0081428571
GR50,sp006,28,GR,50,ep,ausente,coriacea,0.0367142857
MR50,sp006,0,MR,50,ep,ausente,coriacea,0.0367142857
PR50,sp006,18,PR,50,ep,ausente,coriacea,0.0367142857
GR200,sp006,0,GR,200,ep,ausente,coriacea,0.1438571429
MR200,sp006,0,MR,200,ep,ausente,coriacea,0.1438571429
PR200,sp006,0,PR,200,ep,ausente,coriacea,0.1438571429
GR400,sp006,0,GR,400,ep,ausente,coriacea,0.2867142857
MR400,sp006,0,MR,400,ep,ausente,coriacea,0.2867142857
PR400,sp006,0,PR,400,ep,ausente,coriacea,0.2867142857
GR600,sp006,0,GR,600,ep,ausente,coriacea,0.4295714286
MR600,sp006,0,MR,600,ep,ausente,coriacea,0.4295714286
PR600,sp006,0,PR,600,ep,ausente,coriacea,0.4295714286
GR800,sp006,0,GR,800,ep,ausente,coriacea,0.5724285714
MR800,sp006,0,MR,800,ep,ausente,coriacea,0.5724285714
PR800,sp006,0,PR,800,ep,ausente,coriacea,0.5724285714
GR1000,sp006,0,GR,1000,ep,ausente,coriacea,0.7152857143
