"species","licophyte","family","name","name_accepted","life_form","indumentum","thickness"
"sp001",0,"Schizaeaceae","Actinostachys pennula","Actinostachys pennula","ter","ausente","coriacea"
"sp002",0,"Pteridaceae","Adiantum abscissum","Adiantum abscissum","ter","presente","membranacea"
"sp003",0,"Cyatheaceae","Alsophila setosa","Alsophila setosa","ter","presente","coriacea"
"sp004",0,"Cyatheaceae","Alsophila sternbergii","Alsophila sternbergii","ter","presente","coriacea"
"sp005",0,"Anemiaceae","Anemia phyllitidis","Anemia phyllitidis","ter","ausente","membranacea"
"sp006",0,"Pteridaceae","Anetium citrifolium","Anetium citrifolium","ep","ausente","coriacea"
"sp007",0,"Dryopteridaceae","Arachniodes denticulata","Arachniodes denticulata","ter","presente","coriacea"
"sp008",0,"Aspleniaceae","Asplenium auriculatum","Asplenium auriculatum","ep","presente","coriacea"
"sp009",0,"Aspleniaceae","Asplenium feei","Asplenium feei","ter","presente","coriacea"
"sp010",0,"Aspleniaceae","Asplenium harpeodes","Asplenium harpeodes","ep","ausente","membranacea"
"sp011",0,"Aspleniaceae","Asplenium incurvatum","Asplenium incurvatum","ep","ausente","coriacea"
"sp012",0,"Aspleniaceae","Asplenium kunzeanum","Asplenium kunzeanum","ter","ausente","membranacea"
"sp013",0,"Aspleniaceae","Asplenium lacinulatum","Asplenium lacinulatum","ter","ausente","membranacea"
"sp014",0,"Aspleniaceae","Asplenium martianum","Asplenium martianum","ter","ausente","membranacea"
"sp015",0,"Aspleniaceae","Asplenium mucronatum","Asplenium mucronatum","ep","ausente","membranacea"
"sp016",0,"Aspleniaceae","Asplenium muellerianum","Asplenium muellerianum","ep","ausente","membranacea"
"sp017",0,"Aspleniaceae","Asplenium oligophyllum","Asplenium oligophyllum","ep","ausente","membranacea"
"sp018",0,"Aspleniaceae","Asplenium pseudonitidum","Asplenium pseudonitidum","ter","ausente","membranacea"
"sp019",0,"Aspleniaceae","Asplenium pteropus","Asplenium pteropus","ep","ausente","membranacea"
"sp020",0,"Aspleniaceae","Asplenium scandicinum","Asplenium scandicinum","ep","ausente","membranacea"
"sp021",0,"Aspleniaceae","Asplenium serra","Asplenium serra","ep","ausente","membranacea"
"sp022",0,"Aspleniaceae","Asplenium serratum","Asplenium serratum","ep","ausente","coriacea"
"sp023",0,"Aspleniaceae","Asplenium triquetrum","Asplenium triquetrum","ter","ausente","membranacea"
"sp024",0,"Aspleniaceae","Asplenium uniseriale","Asplenium uniseriale","ter","presente","membranacea"
"sp025",0,"Blechnaceae","Blechnum binervatum ssp. acutum","Blechnum binervatum subsp. acutum","hemi","ausente","coriacea"
"sp026",0,"Blechnaceae","Blechnum brasiliense","Blechnum brasiliense","ter","ausente","coriacea"
"sp027",0,"Blechnaceae","Blechnum cordatum","Blechnum cordatum","ter","ausente","coriacea"
"sp028",0,"Blechnaceae","Blechnum sampaioanum","Blechnum sampaioanum","ter","ausente","membranacea"
"sp029",0,"Blechnaceae","Blechnum schomburgkii","Blechnum schomburgkii","ter","ausente","coriacea"
"sp030",0,"Blechnaceae","Blechnum serrulatum","Blechnum serrulatum","ter","ausente","coriacea"
"sp031",0,"Polypodiaceae","Campyloneurum acrocarpon","Campyloneurum acrocarpon","hemi","ausente","coriacea"
"sp032",0,"Polypodiaceae","Campyloneurum minus","Campyloneurum lapathifolium","hemi","ausente","membranacea"
"sp033",0,"Polypodiaceae","Campyloneurum nitidum","Campyloneurum nitidum","hemi","ausente","coriacea"
"sp034",0,"Polypodiaceae","Campyloneurum rigidum","Campyloneurum rigidum","hemi","ausente","coriacea"
"sp035",0,"Polypodiaceae","Ceradenia albidula","Ceradenia albidula","ep","presente","coriacea"
"sp036",0,"Pteridaceae","Cheilanthes regularis","Adiantopsis regularis","ter","ausente","coriacea"
"sp037",0,"Polypodiaceae","Cochlidium punctatum","Cochlidium punctatum","ep","presente","coriacea"
"sp038",0,"Polypodiaceae","Cochlidium serrulatum","Cochlidium serrulatum","ep","presente","coriacea"
"sp039",0,"Dryopteridaceae","Ctenitis pedicelata","Ctenitis pedicelata","ter","presente","membranacea"
"sp040",0,"Cyatheaceae","Cyathea atrovirens","Cyathea atrovirens","ter","presente","coriacea"
"sp041",0,"Cyatheaceae","Cyathea corcovadensis","Cyathea corcovadensis","ter","ausente","coriacea"
