"spp","area_code","abundance","region","altitude","life_form","indumentum","thickness","grad","site","ab.rare","combined","fixed"
"sp001","GR00",11,"GR",0,"ter","ausente","coriacea",0.001,1,"abundant",2.39547351848346,-5.78256356717379
"sp001","MR00",11,"MR",0,"ter","ausente","coriacea",0.001,2,"abundant",2.40248764210856,-5.72960803656923
"sp001","PR00",248,"PR",0,"ter","ausente","coriacea",0.001,3,"abundant",5.51626694601372,-5.68518477075061
"sp001","GR010",0,"GR",10,"ter","ausente","coriacea",0.0081428571,4,"abundant",-6.0331943145985,-5.79887102404451
"sp001","MR010",0,"MR",10,"ter","ausente","coriacea",0.0081428571,5,"abundant",-6.17221421589722,-5.71668569105959
"sp001","PR010",0,"PR",10,"ter","ausente","coriacea",0.0081428571,6,"abundant",-5.69342499927081,-5.77221116597129
"sp001","GR50",0,"GR",50,"ter","ausente","coriacea",0.0367142857,7,"abundant",-6.15593246384947,-5.72619169585976
"sp001","MR50",0,"MR",50,"ter","ausente","coriacea",0.0367142857,8,"abundant",-5.63469693119396,-5.6838095730396
"sp001","PR50",0,"PR",50,"ter","ausente","coriacea",0.0367142857,9,"abundant",-5.68230087917998,-5.72748284396903
"sp001","GR200",0,"GR",200,"ter","ausente","coriacea",0.1438571429,10,"abundant",-5.59907350641623,-5.49646580378812
"sp001","MR200",0,"MR",200,"ter","ausente","coriacea",0.1438571429,11,"abundant",-5.66438284957455,-5.62454028554498
"sp001","PR200",0,"PR",200,"ter","ausente","coriacea",0.1438571429,12,"abundant",-5.54746273887973,-5.59806105334753
"sp001","GR400",0,"GR",400,"ter","ausente","coriacea",0.2867142857,13,"abundant",-5.48656796260313,-5.38002769304327
"sp001","MR400",0,"MR",400,"ter","ausente","coriacea",0.2867142857,14,"abundant",-5.38653145805425,-5.49842599022928
"sp001","PR400",0,"PR",400,"ter","ausente","coriacea",0.2867142857,15,"abundant",-5.40972622891683,-5.38669250031565
"sp001","GR600",0,"GR",600,"ter","ausente","coriacea",0.4295714286,16,"abundant",-5.56926104442515,-5.26667376187714
"sp001","MR600",0,"MR",600,"ter","ausente","coriacea",0.4295714286,17,"abundant",-5.3645796746966,-5.29473224853609
"sp001","PR600",0,"PR",600,"ter","ausente","coriacea",0.4295714286,18,"abundant",-5.4929830141675,-5.20565106740748
"sp001","GR800",0,"GR",800,"ter","ausente","coriacea",0.5724285714,19,"abundant",-5.30975650362283,-5.14214282439863
"sp001","MR800",0,"MR",800,"ter","ausente","coriacea",0.5724285714,20,"abundant",-5.21187569636645,-5.07346658277675
"sp001","PR800",0,"PR",800,"ter","ausente","coriacea",0.5724285714,21,"abundant",-5.03032234916232,-5.08354214854256
"sp001","GR1000",0,"GR",1000,"ter","ausente","coriacea",0.7152857143,22,"abundant",-5.055058243647,-4.98974490823775
"sp001","MR1000",0,"MR",1000,"ter","ausente","coriacea",0.7152857143,23,"abundant",-5.01704133768031,-4.9141935685262
"sp001","PR1000",0,"PR",1000,"ter","ausente","coriacea",0.7152857143,24,"abundant",-5.09286845806025,-4.9541671589618
"sp001","GR1200",0,"GR",1200,"ter","ausente","coriacea",0.8581428571,25,"abundant",-5.04641391416019,-4.80647504495759
"sp001","MR1200",0,"MR",1200,"ter","ausente","coriacea",0.8581428571,26,"abundant",-5.08977929076383,-4.85886964888514
"sp001","PR1200",0,"PR",1200,"ter","ausente","coriacea",0.8581428571,27,"abundant",-4.85704544487958,-4.77609303533356
"sp001","GR1400",0,"GR",1400,"ter","ausente","coriacea",1.001,28,"abundant",-4.59254162606834,-4.7135540250396
"sp001","MR1400",0,"MR",1400,"ter","ausente","coriacea",1.001,29,"abundant",-5.32755113519836,-4.76182748795903
"sp001","PR1400",0,"PR",1400,"ter","ausente","coriacea",1.001,30,"abundant",-4.70420850050164,-4.77145555522136
"sp012","GR00",0,"GR",0,"ter","ausente","membranacea",0.001,1,"abundant",-6.31410486495094,-6.04572463567039
"sp012","MR00",0,"MR",0,"ter","ausente","membranacea",0.001,2,"abundant",-5.99317161424273,-5.98652451535325
"sp012","PR00",0,"PR",0,"ter","ausente","membranacea",0.001,3,"abundant",-5.98023484725858,-6.10384510131951
"sp012","GR010",0,"GR",10,"ter","ausente","membranacea",0.0081428571,4,"abundant",-5.9083690312666,-6.0140712261943
"sp012","MR010",0,"MR",10,"ter","ausente","membranacea",0.0081428571,5,"abundant",-6.33871133729068,-5.92655858889189
"sp012","PR010",0,"PR",10,"ter","ausente","membranacea",0.0081428571,6,"abundant",-6.00543764245286,-5.89573028184018
"sp012","GR50",0,"GR",50,"ter","ausente","membranacea",0.0367142857,7,"abundant",-5.61730926306056,-5.46383398424783
"sp012","MR50",0,"MR",50,"ter","ausente","membranacea",0.0367142857,8,"abundant",-5.30308242259875,-5.46578683320794
"sp012","PR50",0,"PR",50,"ter","ausente","membranacea",0.0367142857,9,"abundant",-5.67106531860706,-5.40799029429747
"sp012","GR200",16,"GR",200,"ter","ausente","membranacea",0.1438571429,10,"abundant",2.80741589351163,-4.09668127467771
"sp012","MR200",11,"MR",200,"ter","ausente","membranacea",0.1438571429,11,"abundant",2.37817821985597,-4.07992646294342
"sp012","PR200",0,"PR",200,"ter","ausente","membranacea",0.1438571429,12,"abundant",-4.65421519428205,-4.04335024809357
"sp012","GR400",2,"GR",400,"ter","ausente","membranacea",0.2867142857,13,"abundant",0.608738682113516,-2.80118449938827
"sp012","MR400",0,"MR",400,"ter","ausente","membranacea",0.2867142857,14,"abundant",-3.82216571210605,-2.92531073851386
"sp012","PR400",0,"PR",400,"ter","ausente","membranacea",0.2867142857,15,"abundant",-3.8982772419265,-2.84508624956771
"sp012","GR600",19,"GR",600,"ter","ausente","membranacea",0.4295714286,16,"abundant",2.94010953621119,-2.45146076348197
"sp012","MR600",1,"MR",600,"ter","ausente","membranacea",0.4295714286,17,"abundant",-0.0854230769322298,-2.43735714131511
"sp012","PR600",0,"PR",600,"ter","ausente","membranacea",0.4295714286,18,"abundant",-3.55588959794939,-2.38835420944174
"sp012","GR800",250,"GR",800,"ter","ausente","membranacea",0.5724285714,19,"abundant",5.52851636675803,-2.8055151353904
"sp012","MR800",19,"MR",800,"ter","ausente","membranacea",0.5724285714,20,"abundant",2.8945615774766,-2.72660846185347
"sp012","PR800",0,"PR",800,"ter","ausente","membranacea",0.5724285714,21,"abundant",-3.4208148731983,-2.75961551718139
"sp012","GR1000",0,"GR",1000,"ter","ausente","membranacea",0.7152857143,22,"abundant",-4.20150086312679,-3.89826250702896
"sp012","MR1000",165,"MR",1000,"ter","ausente","membranacea",0.7152857143,23,"abundant",5.08028192932459,-3.83187365916405
"sp012","PR1000",0,"PR",1000,"ter","ausente","membranacea",0.7152857143,24,"abundant",-4.53864858290409,-3.94420708844818
"sp012","GR1200",0,"GR",1200,"ter","ausente","membranacea",0.8581428571,25,"abundant",-6.06362812372416,-5.78955135495399
"sp012","MR1200",0,"MR",1200,"ter","ausente","membranacea",0.8581428571,26,"abundant",-6.31261878520701,-5.75279281996501
"sp012","PR1200",0,"PR",1200,"ter","ausente","membranacea",0.8581428571,27,"abundant",-5.66357213134772,-5.74274521183553
"sp012","GR1400",0,"GR",1400,"ter","ausente","membranacea",1.001,28,"abundant",-8.69370229582342,-8.46057352510453
"sp012","MR1400",0,"MR",1400,"ter","ausente","membranacea",1.001,29,"abundant",-8.60229581395605,-8.3415944747109
"sp012","PR1400",0,"PR",1400,"ter","ausente","membranacea",1.001,30,"abundant",-8.48224205976492,-8.39079590069885
"sp025","GR00",0,"GR",0,"hemi","ausente","coriacea",0.001,1,"abundant",-4.941348645452,-4.41405962881468
"sp025","MR00",0,"MR",0,"hemi","ausente","coriacea",0.001,2,"abundant",-4.64974813865998,-4.36794195143417
"sp025","PR00",0,"PR",0,"hemi","ausente","coriacea",0.001,3,"abundant",-4.69310268354874,-4.39919487296348
"sp025","GR010",42,"GR",10,"hemi","ausente","coriacea",0.0081428571,4,"abundant",3.78734992826393,-4.29306923506231
"sp025","MR010",0,"MR",10,"hemi","ausente","coriacea",0.0081428571,5,"abundant",-4.77260741907484,-4.27062993511048
