"component","R2","type","group"
"conditional",0.879798079367443,"all","abundant"
"fixed",0.0553862899471525,"niche","abundant"
"random",0.824411789420291,"all.random","abundant"
"site",3.35596116936014e-16,"neutral","abundant"
"spp:site",0.824411789420286,"neutral","abundant"
"spp:region",4.67671379784323e-15,"neutral","abundant"
"spp",9.02171388337307e-17,"idiosyncratic","abundant"
"conditional",0.892552082803442,"all","rare"
"fixed",0,"niche","rare"
"random",0.892552082803442,"all.random","rare"
"site",0,"neutral","rare"
"spp:site",0.892552082803441,"neutral","rare"
"spp:region",0,"neutral","rare"
"spp",5.78884577958249e-16,"idiosyncratic","rare"
