"conditional","fixed","random","species","mountain","species:mountain","species:site"
"m1",0.830561971007483,0,0.830561971007483,0.82343523996607,0.00712673104141222,NA,NA
"m2.1",0.849577290598079,0,0.849577290598079,0.315362217942507,NA,0.534215072655572,NA
"m2.2",0.904762621599145,0,0.904762621599145,2.80726274609578e-08,NA,0.00159193503656278,0.903170658489955
"m3.1.1",0.832124886298937,0.00729408968204024,0.824830796616896,0.824830796616896,NA,NA,NA
"m3.1.2",0.831682887955293,0.0600218524572845,0.771661035498008,0.771661035498008,NA,NA,NA
"m3.1.3",0.831817040977988,0.0705114307327408,0.761305610245248,0.761305610245248,NA,NA,NA
"m3.1.4",0.831812546116545,0.0705062470338153,0.76130629908273,0.76130629908273,NA,NA,NA
"m3.2.1",0.842344616669247,0.0629796833184123,0.779364933350834,0.779364933350834,NA,NA,NA
"m3.2.2",0.838494452320654,0.0952925201064729,0.743201932214181,0.743201932214181,NA,NA,NA
"m3.2.3",0.848014124417993,0.151137476197299,0.696876648220694,0.696876648220694,NA,NA,NA
"m3.2.4",0.848907882330273,0.156170427941903,0.692737454388369,0.692737454388369,NA,NA,NA
"m4.1.1",0.849068011529908,0.00437776692138918,0.844690244608519,0.317701021554883,NA,0.526989223053636,NA
"m4.1.2",0.848786599928396,0.0465951137407142,0.802191486187682,0.273604201253055,NA,0.528587284934627,NA
"m4.1.3",0.848712005565451,0.0527219175300796,0.795990088035371,0.267783255776029,NA,0.528206832259342,NA
"m4.1.4",0.848730945586397,0.0529184151446421,0.795812530441755,0.267566450956362,NA,0.528246079485393,NA
"m4.2.1",0.904146957474843,0.000128129671292837,0.90401882780355,1.41360537669918e-13,NA,0.000993751227211092,0.903025076576197
"m4.2.2",0.901471602563466,0.00177195842780656,0.89969964413566,0,NA,0,0.89969964413566
"m4.2.3",0.901178575569417,0.00201660326317073,0.899161972306246,1.16831927670672e-15,NA,3.53095667832396e-15,0.899161972306242
"m4.2.4",0.901144004138667,0.0020402745898778,0.89910372954879,0,NA,2.03181997664192e-14,0.899103729548769
"m4.3.1",0.853441162150627,0.0322648262788905,0.821176335871737,0.309229337487518,NA,0.511946998384219,NA
"m4.3.2",0.851125362664728,0.0614176341523174,0.789707728512411,0.269290537889402,NA,0.520417190623009,NA
"m4.3.3",0.855577481911544,0.0918338871765896,0.763743594734954,0.25902399771374,NA,0.504719597021214,NA
"m4.3.4",0.85605793851822,0.0948636317046146,0.761194306813605,0.257895591284088,NA,0.503298715529517,NA
"m4.4.1",0.902775528212393,0.00118973023247982,0.901585797979913,0,NA,0.00232718295209739,0.899258615027816
"m4.4.2",0.898101444557846,0.00508929107028172,0.893012153487565,0,NA,2.25024981529912e-13,0.89301215348734
"m4.4.3",0.896889976775903,0.00618155065572806,0.890708426120175,1.76557510571882e-16,NA,0,0.890708426120175
"m4.4.4",0.899019650640207,0.00702156989181053,0.891998080748397,1.41614783794013e-06,NA,0.00132544077428778,0.890671223826271
